Source/Request	Already?	Know? (grade)	APP	POPULAR	Title	Artist	Other Artist	Papon Artist	Duplicate	Year	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
			Y		Roberta	Billy Joel																	BJC
					Steven's Last Night in Town	Ben Folds Five					90s												BF Scores
			Y		Root Beer Rag	Billy Joel																	BJC
					Still																		RBF
					Still Fighting It	Ben Folds					00s												PV
					Still Fighting It 	Ben Folds					00s												Piano transcription
					Stoned Soul Picnic (Picnic, A Green City)																		RBF
			Y		Rosalinda's Eyes	Billy Joel																	BJC
			Y		Running On Ice	Billy Joel																	BJC
					Stop! In The Name Of Love																		PRF
			Y	Y	Say Goodbye To Hollywood	Billy Joel																	BJC
PRF 4th only					Stormy																		PRF
					Straight From The Heart	The Allman Brothers Band																	CRF
PRF 3rd only					Straight Up																		PRF
					Strawberry Fields Forever	The Beatles																	CRF
					Strawberry Fields Forever	Beatles, the					60s-70s												BFB
			Y		Scandinavian Skies	Billy Joel																	BJC
05/14/16 Fleischman party	X		Y		Scenes From an Italian Restaurant	Billy Joel							X										BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Stronger	Kelly Clarkson					10s												yes
			Y		Shameless	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Such Great Heights	Postal Service, the					00s												yes
			Y	Y	She's Always A Woman	Billy Joel																	BJC
					Sugar, Sugar																		PRF
PRF 4th only					Sugartime																		PRF
			Y	Y	She's Got A Way	Billy Joel																	BJC
			Y		She's Got A Way	Billy Joel																	BJC
					Summer In The City																		PRF
		A			Summer Of '69	Bryan Adams					80s		X		Brillant								CRF
			Y		She's Right On Time	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Summer of 69	Bryan Adams					80s												yes
			Y		Sleeping With The Television On	Billy Joel																	BJC
			Y		Sometimes A Fantasy	Billy Joel																	BJC
					Sun King	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Sunday Morning	Maroon 5					00s												yes
			Y		Somewhere Along The Line	Billy Joel																	BJC
					Sunshine Of Your Love																		PRF
					Sunshine Superman	Donovan																	CRF
PRF 4th only					Sunshine Superman																		PRF
					Super Freak																		RBF
PRF 3rd only					Superstar																		PRF
					Superstition																		RBF
			Y		Souvenir	Billy Joel																	BJC
			Y		State Of Grace	Billy Joel																	BJC
			Y		Stiletto	Billy Joel																	BJC
			Y		Stop In Nevada	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Surrender	Cheap Trick					80s												yes
			Y		Storm Front	Billy Joel																	BJC
					Susie-Q																		PRF
					Suspicion																		PRF
					Sussudio	Phil Collins																	CRF
PRF 4th only					Sussudio																		PRF
			Y		Streetlife Serenader	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Sweet Caroline	Neil Diamond					70s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Sweet Child of Mine	Guns and Roses					80s												yes
			Y		Streetlife Serenader	Billy Joel																	BJC
			Y	Y	Summer, Highland Falls	Billy Joel																	BJC
			Y		Summer, Highland Falls	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Sweet Home Alabama 	Lynyrd Skynyrd					60-70												yes
					Sweet Love																		RBF
PRF 4th only					Sweet Pea																		
					Sweet Talkin' Woman	Electric Light Orchestra																	CRF
			Y		Surprises	Billy Joel																	BJC
PRF 3rd only					Take a Letter, Maria																		PRF
					Take A Look Around																		RBF
					Take Good Care Of My Baby																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Take It Easy	Eagles, the					70s												yes
PRF 3rd only					Take it Easy on Me																		PRF
			Y	Y	Tell Her About It	Billy Joel																	BJC
			Y		Temptation	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Take On Me	A-Ha					80s												yes
			Y		That's Not Her Style	Billy Joel																	BJC
PRF 4th only					Take The Long Way Home																		
			Y		The Downeaster “Alexa”	Billy Joel																	BJC
					Taxman	Beatles, the					60s-70s												BFB
					Teardrops																		RBF
			Y		The Entertainer	Billy Joel																	BJC
					Tears In Heaven (featured in the Motion Picture RUSH)																		PRF
					Tears On My Pillow																		RBF
					Tears On My Pillow																		PRF
PRF 4th only					Teen Angel																		
			Y	Y	The Longest Time	Billy Joel																	BJC
					Tell It Like It Is																		RBF
					Tell It Like It Is																		PRF
					Tell Laura I Love Her																		PRF
					Tell Me It's Real																		RBF
					Tell Me What You See	Beatles, the					60s-70s												BFB
					Tell Me Why	Beatles, the					60s-70s												BFB
05/14/16 Fleischman party	X		Y		The River of Dreams	Billy Joel																	
					Ten Commandments Of Love																		RBF
PRF 4th only					Tequila																		
					Thank You Girl	Beatles, the					60s-70s												BFB
					That Girl																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					That Thing You Do	The Wonders					90s												yes
PRF 3rd only					That's Life																		PRF
			Y		The Stranger	Billy Joel																	BJC
PRF 4th only					That's The Way (I Like It)																		
PRF 3rd only					That's the Way I've Always Heard It Should Be																		PRF
					That's The Way Of The World																		RBF
PRF 3rd only					That's What Love Is All About																		PRF
					The Air That I Breathe	The Hollies																	CRF
					The Ascent of Stan	Ben Folds					00s												PV
					The Ballad Of John And Yoko	Beatles, the					60s-70s												BFB
					The Battle of Who Should Care Less	Ben Folds Five					90s												BF Scores
					The Best Things In Life Are Free	Luther Vandross & Janet Jackson																	RBF
					The Birds And The Bees	Jewel Akens																	RBF
PRF 3rd only					The Birds and the Bees																		PRF
			Y		This Is The Time	Billy Joel																	BJC
					The Boy From New York City	The Ad Libs																	RBF
PRF 4th only					The Boy From New York City																		
					The Boy Is Mine	Brandy & Monica																	RBF
PRF 4th only					The Boy Is Mine																		
					The Closer I Get To You	Roberta Flack & Donny Hathaway																	RBF
					The Continuing Story Of Bungalow Bill	Beatles, the					60s-70s												BFB
			Y		This Night	Billy Joel																	BJC
05/07/16 Irizarry wedding					The element	O.A.R						NO											
					The End	Beatles, the					60s-70s												BFB
			Y		Through The Long Night	Billy Joel																	BJC
					The First Night	Monica																	RBF
					The First Time Ever I Saw Your Face	Roberta Flack																	RBF
			Y		Tomorrow Is Today	Billy Joel																	BJC
					The Fool On The Hill	Beatles, the					60s-70s												BFB
					The Great Pretender	The Platters																	RBF
PRF 4th only					The Great Pretender																		
					The Green Door																		PRF
PRF 4th only					The Grooveline																		
					The Happy Song	Otis Redding																	RBF
			Y		Travelin' Prayer	Billy Joel																	BJC
					The Inner Light	Beatles, the					60s-70s												BFB
			Y		Turn Around	Billy Joel																	BJC
					The Last Polka	Ben Folds Five					90s												BF Scores
					The Last Polka	Ben Folds Five					90s												Piano transcription
					The Little Old Lady (From Pasadena)																		PRF
PRF 4th only					The Living Years																		
					The Loco-Motion	Little Eva																	RBF
					The Loco-Motion																		PRF
			Y		Until The Night	Billy Joel																	BJC
PRF 4th only					The Logical Song																		PRF
PRF 4th only					The Lonely Bull																		PRF
					The Long And Winding Road	Beatles, the					60s-70s												BFB
05/14/16 Fleischman party	X		Y		Uptown Girl	Billy Joel																	
			Y		Uptown Girl	Billy Joel																	BJC
					The Luckiest	Ben Folds					00s												PV
					The Magic Bus	The Who																	CRF
					The Next Time I Fall																		PRF
					The Night Before	Beatles, the					60s-70s												BFB
PRF 3rd only					The Night Chicago Died																		PRF
PRF 3rd only					The Night Owls																		PRF
					The One That You Love																		PRF
					The One Who Really Loves You																		RBF
					The Power Of Love																		PRF
					The Pusher	Steppenwolf																	CRF
			Y	Y	Vienna	Billy Joel																	BJC
					The River Of Dreams																		PRF
			Y	Y	We Didn't Start The Fire	Billy Joel																	BJC
					The Shoop Shoop Song (It's In His Kiss) (featured in the Motion Picture MERMAIDS)																		PRF
			Y		Weekend Song	Billy Joel																	BJC
			Y		When In Rome	Billy Joel																	BJC
PRF 3rd only					The Stroll																		PRF
					The Tears Of A Clown																		RBF
					The Tracks Of My Tears																		RBF
					The Twist																		RBF
					The Twist																		PRF
					The Walk																		RBF
					The Watusi																		RBF
			Y		Where's The Orchestra?	Billy Joel																	BJC
			Y		Why Judy Why	Billy Joel																	BJC
PRF 3rd only					The Wayward Wind																		PRF
					The Word	Beatles, the					60s-70s												BFB
					Theme From Shaft (from SHAFT)																		RBF
PRF 4th only					Theme From Shaft (from SHAFT)																		PRF
					There Goes My Baby																		RBF
					There Goes My Baby																		PRF
					There's A Kind Of Hush (All Over The World)																		PRF
					There's A Place	Beatles, the					60s-70s												BFB
					These Boots Are Made For Walkin'																		PRF
					These Eyes	The Guess Who																	CRF
					Things																		PRF
					Things We Said Today	Beatles, the					60s-70s												BFB
					Think For Yourself	Beatles, the					60s-70s												BFB
					Thirty Days In The Hole	Humble Pie																	CRF
					This Boy (Ringo's Theme)	Beatles, the					60s-70s												BFB
PRF 3rd only					This Diamond Ring																		PRF
					This Is For The Lover In You																		RBF
			Y		Worse Comes To Worst	Billy Joel																	BJC
PRF 4th only					This Kiss																		
Tuzzy Braddy/Tuz Piano 6/7/16					This Love	Maroon 5					00s												yes
					This Masquerade																		RBF
			Y		You Can Make Me Free	Billy Joel																	BJC
PRF 3rd only					This One's for the Children																		PRF
			Y		You Look So Good To Me	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Three Little Birds	Bob Marley					60-70												yes
			Y	Y	You May Be Right	Billy Joel																	BJC
					Three Times A Lady																		PRF
PRF 4th only					Thriller																		
			Y	Y	You're My Home	Billy Joel																	BJC
05/14/16 Fleischman party	X				Thunder Road								X										
					Ticket To Ride (featured in the Motion Picture HELP!)	Beatles, the					60s-70s												BFB
PRF 4th only					Tie A Yellow Ribbon Round The Ole Oak Tree																		
PRF 3rd only					Time (Clock of the Heart)																		PRF
					Time For Me To Fly	REO Speedwagon																	CRF
					Time In A Bottle	Jim Croce																	CRF
PRF 4th only					Time In A Bottle																		
					Time Is Tight																		RBF
					Time Will Reveal																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Tiny Dancer	Elton John					70s												yes
			Y		You're My Home	Billy Joel																	BJC
					Tired Of Being Alone																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Titanium	David Guetta					10s												yes
					To All The Girls I've Loved Before																		PRF
					To Be With You																		PRF
					To Love Somebody																		PRF
					To Sir, With Love (from TO SIR, WITH LOVE)																		PRF
PRF 3rd only					Tobacco Road																		PRF
					Together Again																		RBF
					Tom and Mary	Ben Folds Five					90s												BF Scores
			Y		Zanzibar	Billy Joel																	BJC
					Tomorrow Never Knows	Beatles, the					60s-70s												BFB
					Tonight, I Celebrate My Love																		RBF
PRF 4th only					Tonight, I Celebrate My Love																		
					Tonight's The Night (Gonna Be Alright)	Rod Stewart																	CRF
					Tonight's The Night (Gonna Be Alright)																		PRF
					Too Busy Thinking About My Baby																		RBF
PRF 4th only					Top Of The World																		
Tuzzy Braddy/Tuz Piano 6/7/16					Torn	Natalie Imbruglia					90s												yes
					Torn Between Two Lovers																		PRF
					Touch A Hand, Make A Friend																		RBF
					Touch Me In The Morning																		RBF
					Touch Me In The Morning																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Touch of Grey	Grateful Dead					80s												yes
PRF 4th only					Traces																		
					Tragedy																		PRF
PRF 4th only					Travelin' Man																		
			Y		The Shoop Shoop Song (It's In His Kiss)	Betty Everett																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Treasure	Bruno Mars					10s												yes
					True Colors																		PRF
05/07/16 Irizarry wedding					True companion	mark Cohn						NO				X	doc	in progress (ARO)	in progress (ARO)				
					Trusted	Ben Folds					00s												Piano transcription
					Tuesday Afternoon (Forever Afternoon)	The Moody Blues																	CRF
					Tumbling Dice	The Rolling Stones																	CRF
			Y		Take My Breath Away	Berlin	Top Gun																PRF
					Turn Me Loose	Loverboy																	CRF
					Turn Me Loose																		PRF
					Tutti Frutti																		RBF
					Tutti Frutti																		PRF
			Y		Alice Childress  	Ben Folds Five					90s												Piano transcription
					Twist And Shout (featured in the Motion Picture FERRIS BUELLER'S DAY OFF)																		PRF
					Twist And Shout (featured in the Motion Picture FERRIS BUELLER'S DAY OFF)	Beatles, the					60s-70s												BFB
			Y		Best Imitation of Myself 	Ben Folds Five					90s												Piano transcription
PRF 4th only					Two Hearts																		
					Two Of Us	Beatles, the					60s-70s												BFB
					Two Out Of Three Ain't Bad	Meat Loaf																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Umbrella	Rihanna					00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Unbreak My Heart	Toni Braxton					90s												yes
					Uncle Walter	Ben Folds Five					90s												BF Scores
					Uncle Walter 	Ben Folds Five					90s												Piano transcription
			Y		Stand By Me	Ben E. King	John Lennon																PRF
					Underground	Ben Folds Five					90s												BF Scores
					Underground  	Ben Folds Five					90s												Piano transcription
					Unpretty																		RBF
			Y		And I Love Her	Beatles, the					60s-70s												BFB
					Up On The Roof																		RBF
					Up, Up And Away																		PRF
			Y		Copacabana	Barry Manilow				1978		Adult contemporary, Pop											PRF
			Y		The Way We Were	Barbara Streisand																	PRF
			Y		Takin' Care Of Business	Bachman-Turner Overdrive																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Use Somebody	Kings of Leon					00s												yes
					Venus																		PRF
					Victim Of Love	Eagles																	CRF
					Video	Ben Folds Five					90s												BF Scores
					Video 	Ben Folds Five					90s												Piano transcription
			Y		You Ain't Seen Nothin' Yet	Bachman-Turner Overdrive																	CRF
					Vision Of Love																		RBF
					Vision Of Love																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Viva La Vida	Coldplay					00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Wagon Wheel	Darius Rucker					00s												yes
			Y		Heat Of The Moment	Asia				2005		Pop											CRF
					Wait	Beatles, the					60s-70s												BFB
					Waiting On A Friend	The Rolling Stones																	CRF
			Y		(You Make Me Feel Like) A Natural Woman	Aretha Franklin				1968		Classic soul											RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Wake Me Up Before You Go-Go	Wham					80s												yes
			Y		Respect	Aretha Franklin	Otis Redding																RBF
PRF 4th only					Walk A Mile In My Shoes																		
					Walk Away Renee																		PRF
PRF 4th only					Walk Don't Run																		
PRF 4th only					Walk Like An Egyptian																		
					Walk On By																		RBF
					Walk On By																		PRF
PRF 4th only					Walk Right In																		
05/07/16 Irizarry wedding	X	A	Y		The house of the rising sun	Animals					60s	Classic Rock	X										LC
					Walk This Way																		PRF
					Walkin' The Dog																		RBF
			Y		Let's Stay Together	Al Green																	PRF 4th (don't have)
Tuzzy Braddy/Tuz Piano 6/7/16					Walking In Memphis	Mark Cohn					70s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Walking On Sunshine	Katrina and the Waves					80s												yes
			Y		Dream On	Aerosmith																	CRF
PRF 3rd only					Want Ads																		PRF
		B			Wanted Dead or Alive	Bon Jovi					80s				Brillant					lyrics done, needs chords			TO LEARN
					War																		RBF
			Y		Crying	Aerosmith				1962		Rock, Pop											PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Waterfalls	TLC					90s												yes
					Way Over There																		RBF
			Y		Sweet Emotion	Aerosmith																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					We Are The Champions	Queen					70s												yes
			Y		Walk This Way	Aerosmith																	CRF
					We Built This City (from ROCK OF AGES)																		PRF
PRF 3rd only			Y		The Sign	Ace of Base																	PRF
					We Can Work It Out	Beatles, the					60s-70s												BFB
			Y		Boogie Oogie Oogie	A Taste of Honey				1978		Pop											RBF
			Y		On Broadway (featured in the Motion Picture A CHORUS LINE)	A Chorus Line																	RBF
					We Gotta Get Out Of This Place	The Animals																	CRF
			Y		Caught Up In You	.38 Special				1982		Classic rock											CRF
					We're In This Love Together																		RBF
PRF 4th only					We've Only Just Begun																		
					Wedding Bell Blues																		RBF
					Wedding Bell Blues																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		American Pie	Don McLean					70s	Classic Rock											yes
Tuzzy Braddy/Tuz Piano 6/7/16					What a Wonderful World 	Louis Armstrong					60s												yes
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Animal	Neon Trees					10s												yes
					What Goes On	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					What Makes You Beautiful	One Direction					10s												yes
			Y		Annie Waits 	Ben Folds					00s												Piano transcription
					What You're Doing	Beatles, the					60s-70s												BFB
					What'd I Say																		PRF
		B	Y		Any Way You Want It	.38 Special					80s				Brillant					lyrics done, needs chords			TO LEARN
					What's Going On																		PRF
					What's Love Got To Do With It																		PRF
			Y		Anytime At All	The Beatles					60s-70s												BFB
Brillant		C			Wheel In The Sky	Journey					80s				Brillant								CRF
Tuzzy Braddy/Tuz Piano 6/7/16					When I Come Around	Green Day					90s												yes
					When I Fall In Love (featured in the TriStar Motion Picture SLEEPLESS IN SEATTLE)																		PRF
					When I Get Home	Beatles, the					60s-70s												BFB
PRF 4th only					When I Grow Up (To Be A Man)																		
					When I'm Sixty-Four (from YELLOW SUBMARINE)	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					When I’m Sixty Four	Beatles, the					60s												yes
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Army	Ben Folds Five					90s												yes
PRF 4th only					When Will I Be Loved																		
05/07/16 Irizarry wedding	X	B	Y		As time goes by	Unknown Artist					Standards	Standards											FB
					When You Say Nothing At All																		PRF
			Y		Back In The U.S.S.R.	The Beatles					60s-70s												BFB
					Where Did Our Love Go																		PRF
					Where Do Broken Hearts Go																		RBF
					Where Do Broken Hearts Go																		PRF
PRF 3rd only					Where Does My Heart Beat Now																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Where In the World Is Carmen Sandiego	Rockapella					90s												yes
					Where The Boys Are (featured in the Motion Picture WHERE THE BOYS ARE)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Bad Case Of Loving You	Robert Palmer					70s												yes
					Which Way You Going Billy?																		PRF
					While My Guitar Gently Weeps	The Beatles																	CRF
					While My Guitar Gently Weeps	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Bad Moon Risin'	Creedence Clearwater Revival					60s												yes
PRF 4th only					White Rabbit																		
					White Room	Cream																	CRF
					White Room																		PRF
		C			Who's Cryin' Now	Journey					80s				Brillant								TO LEARN
PRF 4th only					Who's Making Love																		
PRF 4th only					Why Do Fools Fall In Love																		
					Why Does It Hurt So Bad (from the Original Soundtrack Album WAITING TO EXHALE)																		RBF
					Why Don't We Do It In The Road	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Bad Romance	Lady Gaga					10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Basket Case	Green Day					90s												yes
					Wild Thing (featured in the Motion Picture MAJOR LEAGUE)																		PRF
			LEARN		Wild Wild West (from the Warner Bros. Film WILD WILD WEST)																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Wild World	Cat Stevens					60-70												yes
					Wild, Wild West																		PRF
PRF 4th only					Will It Go Round In Circles																		
					Willie And The Hand Jive	Eric Clapton																	CRF
PRF 4th only					Winchester Cathedral																		
PRF 3rd only					Wind of Change																		PRF
					Windy	The Association																	CRF
PRF 4th only					Windy																		
					Wishing Well																		RBF
PRF 3rd only					Wishing Well																		PRF
			Y		Battle of Who Could Care Less	Ben Folds Five					90s												Piano transcription
Tuzzy Braddy/Tuz Piano 6/7/16					With A Little Help From My Friends	Beatles, the					60s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					With A Little Help From My Friends	Beatles, the					60s												yes
					With A Little Help From My Friends (featured in THE WONDER YEARS)	Beatles, the					60s-70s												BFB
PRF 3rd only					With Every Beat of My Heart																		PRF
			Y		Beauty And The Beast	Disney					90s	Disney											PRF
					Within You Without You	Beatles, the					60s-70s												BFB
					Woman																		PRF
					Woman In Love																		PRF
					Wonderful Tonight	Eric Clapton																	CRF
					Wonderful! Wonderful!																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Wonderwall	Oasis					90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Wonderwall	Oasis					90s												yes
					Wooly Bully (featured in the Motion Picture SPLASH)																		PRF
					Workin' On A Groovy Thing																		RBF
					Working In The Coal Mine																		RBF
					Working My Way Back To You (featured in JERSEY BOYS)																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Before He Cheats	Carrie Underwood					00s	Country		X	Etzel								yes
			Y		Birthday	The Beatles					60s-70s												BFB
PRF 4th only					Wouldn't It Be Nice (featured in GOOD VIBRATIONS)																		
					Wrap It Up																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Wrecking Ball	Miley Cyrus					10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Wrecking Ball	Miley Cyrus					10s												yes
			Y		Blackbird	The Beatles					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Yellow	Coldplay					00s												yes
					Yellow Submarine (from YELLOW SUBMARINE)	Beatles, the					60s-70s												BFB
					Yer Blues	Beatles, the					60s-70s												BFB
					Yes It Is	Beatles, the					60s-70s												BFB
					Yes, I'm Ready																		RBF
					Yester-Me, Yester-You, Yesterday																		RBF
					Yesterday																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Yesterday	Beatles, the					60s												yes
					Yesterday	Beatles, the					60s-70s												BFB
PRF 4th only					Yesterday Once More																		
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Breakfast at Tiffany's	Deep Blue Something					90s												yes
					You Ain't Seen Nothin' Yet																		PRF
					You And I																		RBF
PRF 4th only					You And Me Against The World																		
PRF 4th only					You Are So Beautiful																		
			Y		Brick	Ben Folds Five					90s												BF Scores
PRF 4th only					You Are The Sunshine Of My Life																		
Tuzzy Braddy/Tuz Piano 6/7/16					You Belong With Me	Taylor Swift					00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					You Belong With Me	Taylor Swift					00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					You Can Call Me Al	Paul Simon					80s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					You Can Call Me Al	Paul Simon					80s												yes
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Brighter Than The Sun	Colbie Caillat					10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Brown Eyed Girl	Van Morrison					60s												yes
					You Can't Do That	Beatles, the					60s-70s												BFB
					You Can't Hurry Love																		RBF
					You Can't Hurry Love																		PRF
PRF 4th only					You Don't Have To Be A Star (To Be In My Show)																		
					You Don't Know Like I Know																		RBF
PRF 4th only					You Don't Mess Around With Jim																		
					You Don't Own Me (featured in the Paramount Picture THE FIRST WIVES CLUB)																		PRF
PRF 3rd only					You Give Good Love																		PRF
		C			You Give Love A Bad Name	Bon Jovi					80s				Brillant								CRF
					You Give Love A Bad Name																		PRF
					You Got It (from the Original Soundtrack Album BOYS ON THE SIDE)																		PRF
					You Haven't Done Nothin'																		RBF
					You Keep Me Hangin' On																		RBF
					You Keep Me Hangin' On																		PRF
					You Know My Name (Look Up The Number)	Beatles, the					60s-70s												BFB
					You Like Me Too Much	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Build Me Up Buttercup	The Foundations					60s												yes
					You Make Lovin' Fun	Fleetwood Mac																	CRF
PRF 4th only					You Make Me Feel Like Dancing																		
			Y		California Girls	The Beach Boys					60s	Classic Rock	X										CRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Call Me Maybe	Carly Rae Jepsen					10s												yes
					You May Be Right (Featured as the theme from the Television Series DAVE'S WORLD)	Billy Joel																	CRF
					You Mean The World To Me																		RBF
					You Never Give Me Your Money	Beatles, the					60s-70s												BFB
			Y		Can't Buy Me Love	The Beatles					60s-70s	Classic Rock											BFB
					You Sexy Thing (featured in THE FULL MONTY)																		PRF
					You Should Be Dancing (from SATURDAY NIGHT FEVER)																		PRF
PRF 4th only					You Talk Too Much																		
					You Wear It Well	Rod Stewart																	CRF
					You Won't See Me	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Can't You See	Marshall Tucker Band					60-70												yes
					You're All I Need To Get By																		RBF
					You're Going To Lose That Girl	Beatles, the					60s-70s												BFB
PRF 3rd only					You're in love																		PRF
					You're In My Heart	Rod Stewart																	CRF
					You're Makin' Me High																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Carolina In My Mind	James Taylor					70s												yes
					You're My Choice Tonight (from CHOOSE ME)																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Carry On My Wayward Son	Kansas					70s												yes
			Y		Carrying Cathy	Ben Folds					00s												PV
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Cecilia	Simon and Garfunkel					60s												yes
					You're The Inspiration																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Celebration	Kool & the Gang					80s												yes
			Y		Centerfold	J. Geils Band					80s	Classic Rock											CRF
					You've Got To Hide Your Love Away	The Beatles																	CRF
					You've Got To Hide Your Love Away	Beatles, the					60s-70s												BFB
					You've Lost That Lovin' Feelin'																		PRF
05/07/16 Irizarry wedding					You've made me so very happy	blood sweat and tears						NO											
					You've Made Me So Very Happy	Blood, Sweat & Tears																	CRF
					You've Made Me So Very Happy																		RBF
					You've Made Me So Very Happy																		PRF
					You've Really Got A Hold On Me																		RBF
					You've Really Got A Hold On Me	Beatles, the					60s-70s												BFB
					Young Americans	David Bowie																	CRF
					Young Blood																		RBF
					Young Blood																		PRF
PRF 4th only					Young Love																		
					Young Turks	Rod Stewart																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Your Love	Outfield, the					80s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Your Love	Outfield, the					80s												yes
			Y		Change The World	Eric Clapton					90s												PRF
PRF 4th only					Your Mama Don't Dance																		
					Your Mother Should Know	Beatles, the					60s-70s												BFB
					Your Redneck Past	Ben Folds Five					90s												BF Scores
05/07/16 Irizarry wedding	X	A	Y		Footloose	Kenny Loggins					80s	Pop	X										FB
					Zak and Sara	Ben Folds Five					90s												Piano transcription
					Zak and Sara	Ben Folds					00s												PV
05/07/16 Irizarry wedding	X	A+	Y		Ho Hey	The Lumineers					00s	Rock											LC
Tuzzy Braddy/Tuz Piano 6/7/16					Zombie	Cranberries, the					90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Zombie	Cranberries, the					90s												yes
