Source/Request	Already?	Know? (grade)	APP	POPULAR	Title	Artist	Other Artist	Papon Artist	Duplicate	Year	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
			Y		Love Shack	The B-52s																	PRF
PRF 4th only					Cathy's Clown																		PRF
			Y		Sugar, Sugar	The Archies																	RBF
			Y		Melissa	The Allman Brothers Band																	CRF
			Y		Ramblin' Man	The Allman Brothers Band																	CRF
			Y		Give A Little Bit	Supertramp				1977		Rock											CRF
					Chains																		RBF
					Chains						60s-70s												BFB
					Chains Of Love																		RBF
			Y		Take The Long Way Home	Supertramp																	CRF
PRF 3rd only					Chanson d'Amour (The Ra-Da-Da-Da-Da Song)																		PRF
					Chante's Got A Man																		RBF
					Chantilly Lace																		PRF
			Y		The Logical Song	Supertramp																	CRF
					Charlie Brown																		PRF
					Cherish																		PRF
					Chevy Van																		PRF
			Y		Come Sail Away	Styx				1977		Classic rock											CRF
					Claire (Clair)																		PRF
			Y		Higher Ground	Stevie Wonder				1973		Classic soul											RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Closing Time						90s												yes
					Cloud Nine																		RBF
			Y		I Just Called To Say I Love You	Stevie Wonder																	RBF
			Y		Isn't She Lovely	Stevie Wonder																	RBF
					Cold Sweat, Pt. 1																		RBF
PRF 3rd only					Cold-Hearted																		PRF
					Colors Of The Wind (from Walt Disney's POCAHONTAS)																		PRF
PRF 4th only			Y		My Cherie Amour	Stevie Wonder																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Come On Eileen						80s												yes
			Y		Signed, Sealed, Delivered I'm Yours	Stevie Wonder							X										RBF
PRF 4th only					Come Sail Away																		
Tuzzy Braddy/Tuz Piano 6/7/16					Come Sail Away						70s												yes
					Come See About Me																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Come To My Window						90s												yes
			Y		Sir Duke	Stevie Wonder																	RBF
					Come Together	Beatles, the					60s-70s												BFB
					Comin' Home	Eric Clapton																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Complicated 	Avril Lavine					00s												yes
					Cool Jerk	The Capitols																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Cooler Than Me	Mike Posner					10s												yes
PRF 4th only			Y		Superstition	Stevie Wonder																	PRF
					Could It Be Magic																		PRF
					Count On Me (from WAITING TO EXHALE)	Whitney Houston & CeCe Winans																	RBF
					Country Roads 	John Denver																	
Tuzzy Braddy/Tuz Piano 6/7/16					Crazy Little Thing Called Love	Queen					70s												yes
			Y		Uptight (Everything's Alright)	Stevie Wonder																	RBF
			Y		You Are The Sunshine Of My Life	Stevie Wonder																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Creep						90s												yes
PRF 4th only					Crimson And Clover																		PRF
			Y		Fly Like An Eagle	Steve Miller Band	Seal																PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Crocodile Rock						60-70												yes
					Cruisin' (from DUETS)																		RBF
					Cry Baby Cry						60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Cryin'						90s												yes
			Y		The Joker	Steve Miller Band																	PRF
PRF 4th only					Crystal Blue Persuasion																		
		C			Cuts Like A Knife						80s				Brillant								CRF
					Daddy Dance With Me									X	Etzel (07/02/2016)								
PRF 4th only					Daddy's Home																		
					Dance With Me																		RBF
PRF 4th only					Dance With Me Henry (The Wallflower)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Dancing In The Moonlight						70s												yes
05/07/16 Irizarry wedding		A	Y		Magic Carpet Ride	Steppenwolf						Classic Rock											FB
					Dancing In The Street (featured in GOOD MORNING VIETNAM)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Dancing In The Streets						60s												yes
PRF 3rd only			Y		Stuck in the Middle with You	Stealers Wheel																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Daniel						70s												yes
					Dark Horse																		CRF
PRF 4th only					Dawn (Go Away)																		PRF
			Y		Wannabe 	Spice Girls																	
					Day Tripper						60s-70s												BFB
					Daydream																		PRF
					Dear Prudence						60s-70s												BFB
			Y		Where Did Our Love Go	Soft Cell																	RBF
					Dedicated To The One I Love																		RBF
					Dedicated To The One I Love																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Desperado						70s												yes
					Devil Or Angel																		PRF
					Devil With The Blue Dress																		RBF
					Did You Ever Have To Make Up Your Mind?																		PRF
					Die a Happy Man									X	Etzel (07/02/2016)								
					Dig A Pony						60s-70s												BFB
					Dig It						60s-70s												BFB
PRF 4th only					Disco Lady																		PRF
PRF 4th only					Dizzy																		PRF
					Dizzy Miss Lizzie						60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					DJ Got Us Fallin' In Love						10s												yes
					Do It ('Til You're Satisfied)																		PRF
PRF 4th only					Do That To Me One More Time																		PRF
					Do The Funky Chicken																		RBF
PRF 4th only					Do Wah Diddy Diddy																		
					Do You Know Where You're Going To? (Theme from MAHOGANY)																		RBF
					Do You Love Me																		RBF
PRF 3rd only					Do You Really Want to Hurt Me																		PRF
					Do You Want To Dance?																		RBF
					Do You Want To Know A Secret?						60s-70s												BFB
					Do Your Thing																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Dock of the Bay						60s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Doctor My Eyes						70s												yes
					Doctor Robert						60s-70s												BFB
PRF 3rd only					Doctor! Doctor!																		PRF
			Y		I Second That Emotion	Smokey Robinson & The Miracles																	RBF
					Don't Be Cruel (To A Heart That's True)																		PRF
					Don't Bother Me						60s-70s												BFB
					Don't Bring Me Down																		CRF
					Don't Change Your Plans						90s												BF Scores
PRF 4th only					Don't Cry Out Loud (We Don't Cry Out Loud) (from THE BOY FROM OZ)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		All Star	Smash Mouth					90s												yes
PRF 4th only					Don't Do Me Like That																		PRF
PRF 4th only					Don't Fall In Love With A Dreamer																		
05/14/16 Fleischman party			Y		All For You	Sister Hazel					90s											X	LC
PRF 3rd only					Don't Give Up on Us																		PRF
					Don't Go Breaking My Heart																		PRF
					Don't Know Much																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Don't Know Why						00s												yes
					Don't Let Me Down						60s-70s												BFB
05/14/16 Fleischman party	X		Y		Mrs. Robinson	Simon and Garfunkel																	
					Don't Let The Sun Go Down On Me (featured in the Motion Picture LOST BOYS)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Don't Lets Start						80s												yes
					Don't Make Me Over																		RBF
					Don't Pass Me By						60s-70s												BFB
					Don't Say Nothin' Bad About My Baby																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Don't Speak						90s												yes
			Y		Oye Como Va	Santana																	CRF
			Y		Oh, Pretty Woman	Roy Orbison																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Don't Stop (Thinkin' about tomorrow)						80s												yes
Tuzzy Braddy/Tuz Piano 6/7/16	X	A			Don't Stop Believin'						80s				Brillant								yes
Tuzzy Braddy/Tuz Piano 6/7/16					Don't Stop the Music						10s												yes
					Don't Take It Personal (Just One Of Dem Days)																		RBF
PRF 3rd only					Don't Talk to Strangers																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Don't Wanna Miss A Thing						90s			X	Etzel								yes
					Don't Want To Be A Fool																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Don't Worry Be Happy						80s												yes
					Don't You Worry 'Bout A Thing																		RBF
PRF 4th only					Donna																		PRF
